Parameter,Value,Units
k_O3_O4_AB42_ISF ,0.000272786,L / (nano * mol * h)
k_O4_O3_AB40_ISF ,1.00E-05,1 / h
k_O4_O3_AB42_ISF ,1.98E-05,1 / h
k_O4_O5_AB40_ISF ,2.45E-05,L / (nano * mol * h)
k_O4_O5_AB42_ISF ,0.000273185,L / (nano * mol * h)
k_O5_O4_AB40_ISF ,1.00E-05,1 / h
k_O5_O4_AB42_ISF ,1.99E-05,1 / h
k_O5_O6_AB40_ISF ,2.36E-05,L / (nano * mol * h)
k_O5_O6_AB42_ISF ,0.000273361,L / (nano * mol * h)
k_O6_O5_AB40_ISF ,1.00E-05,1 / h
k_O6_O5_AB42_ISF ,2.00E-05,1 / h
k_O6_O7_AB40_ISF ,2.31E-05,L / (nano * mol * h)
k_O6_O7_AB42_ISF ,0.000273449,L / (nano * mol * h)
k_O7_O6_AB40_ISF ,1.00E-05,1 / h
k_O7_O6_AB42_ISF ,2.00E-05,1 / h
k_O7_O8_AB40_ISF ,2.27E-05,L / (nano * mol * h)
k_O7_O8_AB42_ISF ,0.000273499,L / (nano * mol * h)
k_O8_O7_AB40_ISF ,1.00E-05,1 / h
k_O8_O7_AB42_ISF ,2.00E-05,1 / h
k_O8_O9_AB40_ISF ,2.25E-05,L / (nano * mol * h)
k_O8_O9_AB42_ISF ,0.000273529,L / (nano * mol * h)
k_O9_O10_AB40_ISF ,2.23E-05,L / (nano * mol * h)
k_O9_O10_AB42_ISF ,0.000273548,L / (nano * mol * h)
k_O9_O8_AB40_ISF ,1.00E-05,1 / h
k_O9_O8_AB42_ISF ,2.00E-05,1 / h
k_in_AB40 ,0.238,1 / h
k_in_AB42 ,0.015,1 / h
kdeg_AB40_O1_BBB ,26.6,1 / h
kdeg_AB40_O1_BCSFB ,26.6,1 / h
kdeg_AB42_O1_BBB ,26.6,1 / h
kdeg_AB42_O1_BCSFB ,26.6,1 / h
sigma_ISF_O1 ,0.2,dimensionless
sigma_ISF_O10 ,0.99,dimensionless
sigma_ISF_O11 ,0.99,dimensionless
sigma_ISF_O12 ,0.99,dimensionless
sigma_ISF_O13 ,0.99,dimensionless
sigma_ISF_O14 ,0.99,dimensionless
sigma_ISF_O15 ,0.99,dimensionless
sigma_ISF_O16 ,0.99,dimensionless
sigma_ISF_O17 ,0.999,dimensionless
sigma_ISF_O18 ,0.999,dimensionless
sigma_ISF_O19 ,0.999,dimensionless
sigma_ISF_O2 ,0.9,dimensionless
sigma_ISF_O20 ,0.999,dimensionless
sigma_ISF_O21 ,0.999,dimensionless
sigma_ISF_O22 ,0.999,dimensionless
sigma_ISF_O23 ,0.999,dimensionless
sigma_ISF_O24 ,0.999,dimensionless
sigma_ISF_O3 ,0.9,dimensionless
sigma_ISF_O4 ,0.9,dimensionless
sigma_ISF_O5 ,0.9,dimensionless
sigma_ISF_O6 ,0.9,dimensionless
sigma_ISF_O7 ,0.9,dimensionless
sigma_ISF_O8 ,0.9,dimensionless
sigma_ISF_O9 ,0.9,dimensionless
sigma_ISF_lymph_Abeta ,0,dimensionless
sigma_PVS_Abeta ,0.999,dimensionless
sigma_SAS_lymph ,0,dimensionless
sigma_vascular_BCSFB_Abeta ,0.9974,dimensionless
sigma_vascular_ISF_Abeta ,1,dimensionless
v_C99 ,0.333,1 / h
