observation,series,Time (h),Conc (nM),time,measurement
concentration,sim10mgkg,516.607351,146.7347014,70.05897344,146.7347014
concentration,sim10mgkg,528.2609145,142.7467934,70.06030376,142.7467934
concentration,sim10mgkg,540.8775824,137.5138913,70.06174402,137.5138913
concentration,sim10mgkg,552.1459041,132.5635827,70.06303035,132.5635827
concentration,sim10mgkg,563.0891781,127.4896935,70.06427959,127.4896935
concentration,sim10mgkg,572.9489596,123.6225386,70.06540513,123.6225386
concentration,sim10mgkg,582.5800038,119.3163913,70.06650457,119.3163913
concentration,sim10mgkg,592.0184271,116.4293086,70.06758201,116.4293086
concentration,sim10mgkg,601.5531609,113.2801728,70.06867045,113.2801728
concentration,sim10mgkg,611.0878946,110.1224172,70.06975889,110.1224172
concentration,sim10mgkg,620.4492696,106.9420569,70.07082754,106.9420569
concentration,sim10mgkg,630.1573622,103.362116,70.07193577,103.362116
concentration,sim10mgkg,639.6920959,100.7378037,70.07302421,100.7378037
concentration,sim10mgkg,648.5526566,97.35233936,70.07403569,97.35233936
concentration,sim10mgkg,658.3281665,95.115886,70.07515162,95.115886
