Time,Ab42_monomer,Ab42_plaque,,
0,0,0,0,0
2929.7658862876256,23.128923005767067,0.000120362,92.33102996,0.000480488
5859.531772575251,23.12846273640094,0.000283032,92.32919256,0.00112987
8789.297658862877,23.127913160058974,0.00046241,92.32699864,0.001845949
11719.063545150502,23.12727222,0.000658946,92.32443999,0.002630525
14648.829431438127,23.126537625548888,0.000873104,92.32150749,0.003485446
17578.595317725754,23.12570702004236,0.00110536,92.3181917,0.004412616
20508.361204013378,23.12477797213768,0.001356204,92.31448292,0.005413987
23438.127090301005,23.12374798374755,0.001626138,92.31037119,0.006491569
26367.89297658863,23.12261448640956,0.001915681,92.30584625,0.007647428
29297.658862876255,23.121374839343837,0.002225363,92.30089756,0.008883685
32227.42474916388,23.12002632745339,0.002555732,92.29551428,0.010202522
35157.19063545151,23.118566159269484,0.002907349,92.28968527,0.011606183
38086.956521739135,23.11699146484067,0.003280792,92.28339906,0.013096973
41016.722408026755,23.115299293564206,0.003676654,92.27664389,0.014677262
43946.48829431438,23.113486611958194,0.004095546,92.26940763,0.016349485
46876.25418060201,23.111550301300277,0.004538095,92.26167785,0.018116147
49806.020066889636,23.10948715404209,0.005004945,92.25344173,0.019979821
52735.78595317726,23.107293873326284,0.00549676,92.24468612,0.021943155
55665.55183946488,23.104967074978305,0.00601422,92.2353975,0.024008863
58595.31772575251,23.102503275152205,0.006558025,92.22556198,0.026179742
61525.083612040136,23.09989889159891,0.007128895,92.21516524,0.028458664
64454.84949832776,23.097150242626903,0.00772757,92.20419259,0.030848584
67384.61538461539,23.09425354193327,0.008354811,92.19262891,0.033352537
70314.38127090302,23.091204899892144,0.009011398,92.18045868,0.035973645
73244.14715719064,23.08800031553407,0.009698136,92.16766593,0.038715114
76173.91304347827,23.08463568160454,0.010415849539654682,92.15423426,0.041580238
79103.67892976588,23.08110676836136,0.011165388251735596,92.14014678,0.044572408
82033.44481605351,23.077409237688585,0.011947623292549583,92.12538618,0.047695103
84963.21070234114,23.07353862,0.012763452103955322,92.10993461,0.050951905
87892.97658862876,23.06949033091212,0.013613795622237022,92.09377378,0.05434649
90822.74247491639,23.065259649790626,0.014499601343417488,92.07688483,0.05788264
93752.50836120402,23.060841727120238,0.015421843109511295,92.05924841,0.061564244
96682.27424749164,23.056231582026484,0.016381520970901557,92.04084464,0.065395293
99612.04013377927,23.051424086376635,0.017379664534341095,92.02165304,0.069379898
102541.8060200669,23.046413980478686,0.01841733,92.00165262,0.073522275
105471.57190635453,23.04119584733919,0.019495604,91.98082175,0.077826764
108401.33779264215,23.035764128131554,0.020615604099127653,91.95913824,0.082297821
111331.10367892977,23.030113104051566,0.021778477369309417,91.93657926,0.086940029
114260.86956521739,23.02423689810681,0.022985404,91.91312135,0.0917581
117190.63545150502,23.01812947481168,0.024237595930772668,91.88874042,0.09675687
120120.40133779265,23.011784621059107,0.025536301,91.86341166,0.101941319
123050.16722408027,23.005195965037075,0.026882797197831668,91.83710964,0.107316556
125979.9331103679,22.998356944615356,0.028278403677936544,91.80980816,0.112887839
128909.69899665553,22.991260826924044,0.029724472,91.78148035,0.118660567
131839.46488294314,22.983900685356446,0.031222393,91.75209854,0.124640292
134769.23076923078,22.97626940329638,0.032773597,91.72163434,0.130832721
137698.9966555184,22.968359671968322,0.03437955,91.69005857,0.137243713
140628.76254180603,22.96016396885807,0.036041765,91.65734119,0.143879301
143558.52842809365,22.951674579995135,0.037761791,91.62345142,0.150745671
146488.2943143813,22.942883561625468,0.039541223,91.58835753,0.157849194
149418.0602006689,22.933782764594955,0.0413817,91.552027,0.165196408
152347.82608695654,22.924363805472094,0.043284906358539633,91.51442637,0.172794037
155277.59197324415,22.914618072823234,0.045252572,91.47552125,0.180648992
158207.35785953177,22.90453672256602,0.047286476,91.43527634,0.188768369
161137.1237458194,22.89411065375767,0.049388447693458154,91.3936553,0.197159472
164066.88963210702,22.883330534775524,0.051560363,91.3506209,0.205829792
166996.65551839466,22.87218675713667,0.053804154,91.30613476,0.214787044
169926.42140468227,22.860669465295103,0.056121805,91.26015755,0.22403914
172856.18729096992,22.848768520493536,0.058515353,91.21264878,0.233594224
175785.95317725753,22.836473511719525,0.060986895352920026,91.16356691,0.24346066
178715.71906354517,22.82377374702131,0.063538583,91.11286925,0.253647038
181645.48494983278,22.810658225283873,0.066172631,91.06051188,0.2641622
184575.25083612042,22.797115668222908,0.06889131,91.00644977,0.275015211
187505.01672240804,22.78313446373692,0.07169696,90.95063658,0.286215408
190434.78260869565,22.768702711742733,0.074591977,90.8930248,0.297772362
193364.5484949833,22.753808167303642,0.077578829,90.83356554,0.309695925
196294.3143812709,22.73843825,0.080660053,90.77220857,0.321996221
199224.08026755854,22.72258002945593,0.083838254,90.70890231,0.334683649
202153.84615384616,22.706220248212595,0.087116108,90.64359381,0.347768896
205083.6120401338,22.689345270236004,0.090496367,90.57622862,0.361262941
208013.3779264214,22.671941093769856,0.093981855,90.50675087,0.375177065
210943.14381270905,22.653993335707902,0.097575477,90.43510314,0.389522862
213872.90969899666,22.635487216476648,0.1012802180775203,90.36122641,0.404312248
216802.6755852843,22.61640755353429,0.10509914630644385,90.28506009,0.41955747
219732.44147157192,22.596738767263155,0.10903541090882238,90.20654199,0.435271101
222662.20735785953,22.576464857510068,0.11309224773978932,90.12560821,0.451466059
225591.97324414717,22.55556938234204,0.11727298340419998,90.04219314,0.468155622
228521.73913043478,22.534035443638064,0.12158103682262916,89.95622932,0.48535344
231451.50501672243,22.511845684328403,0.12601992506435286,89.86764744,0.503073553
234381.27090301004,22.48898245938983,0.13059322359182202,89.77637708,0.521330234
237311.03678929768,22.465427455379956,0.13530464298587833,89.68234513,0.540138295
240240.8026755853,22.441161909345258,0.14015799043703123,89.58547668,0.559512936
243170.56856187293,22.416165650399055,0.14515735324035248,89.48569122,0.579470472
246100.33444816055,22.390420613754138,0.1503064100585094,89.38291662,0.600025589
249030.1003344482,22.363905631512857,0.15560945470196974,89.27706839,0.621195428
251959.8662207358,22.33659984835966,0.16107072979408324,89.16806327,0.642996925
254889.6321070234,22.30848188039318,0.16669458561524206,89.05581589,0.665447448
257819.39799331105,22.279529756562376,0.17248549490622814,88.94023855,0.68856485
260749.16387959867,22.249720889779905,0.17844805931376084,88.82124108,0.712367502
263678.9297658863,22.21903213370365,0.18458699637781883,88.69873107,0.736874237
266608.69565217395,22.18743974065102,0.19090715635540295,88.57261374,0.762104417
269538.46153846156,22.15491946777533,0.19741348915497609,88.44279229,0.788077801
272468.2274247492,22.121446301390538,0.20411110522005874,88.30916687,0.814814791
