observation,series,Time (day),Measurement (ug/mL),time,measurement,unit
concentration,5sec,0.677990405,3.407607439,70.00185751,23.29191688,nM/L
concentration,5sec,0.727479811,2.080126098,70.0019931,14.2182235,nM/L
concentration,5sec,0.913202555,5.272507901,70.00250192,36.03901504,nM/L
concentration,5sec,0.906878908,5.044597375,70.0024846,34.48118506,nM/L
concentration,5sec,0.915127143,4.883610999,70.0025072,33.38079972,nM/L
concentration,5sec,0.915127143,4.743604469,70.0025072,32.42381729,nM/L
concentration,5sec,0.932448435,4.597155942,70.00255465,31.42280207,nM/L
concentration,5sec,0.926674671,4.450815113,70.00253883,30.42252299,nM/L
concentration,5sec,0.943995963,10.71075179,70.00258629,73.21088032,nM/L
concentration,5sec,0.92871247,6.871780669,70.00254442,46.97047621,nM/L
concentration,5sec,0.964204137,5.50176397,70.00264166,37.60604217,nM/L
concentration,5sec,0.970940195,2.848490653,70.00266011,19.47020268,nM/L
concentration,5sec,0.994136545,5.958973989,70.00272366,40.7311961,nM/L
concentration,5sec,0.987299193,5.697182853,70.00270493,38.941783,nM/L
concentration,5sec,0.993860289,6.266504302,70.0027229,42.83324882,nM/L
concentration,5sec,1.032823102,6.569423577,70.00282965,44.90378385,nM/L
concentration,5sec,1.059471244,10.3447005,70.00290266,70.70882094,nM/L
concentration,5sec,1.059471244,10.02676859,70.00290266,68.53567047,nM/L
concentration,5sec,1.059471244,9.718607932,70.00290266,66.42930917,nM/L
concentration,5sec,1.059471244,9.419918219,70.00290266,64.38768434,nM/L
concentration,5sec,1.059471244,9.130408376,70.00290266,62.4088064,nM/L
concentration,5sec,1.059471244,8.849796269,70.00290266,60.49074688,nM/L
concentration,5sec,1.059471244,8.577808437,70.00290266,58.63163662,nM/L
concentration,5sec,1.059471244,8.314179824,70.00290266,56.82966387,nM/L
concentration,5sec,1.059471244,8.058653518,70.00290266,55.08307258,nM/L
concentration,5sec,1.059471244,7.810980506,70.00290266,53.39016067,nM/L
concentration,5sec,1.121333002,7.521927892,70.00307215,51.41440801,nM/L
concentration,5sec,1.146077705,7.27700318,70.00313994,49.74028148,nM/L
concentration,5sec,1.146077705,7.045078711,70.00313994,48.15501511,nM/L
concentration,5sec,1.059471244,4.316421915,70.00290266,29.50390919,nM/L
concentration,5sec,1.059471244,4.183761885,70.00290266,28.59714207,nM/L
concentration,5sec,1.059471244,4.055179001,70.00290266,27.71824334,nM/L
concentration,5sec,1.059471244,3.930547958,70.00290266,26.86635651,nM/L
concentration,5sec,1.059471244,3.809747299,70.00290266,26.0406514,nM/L
concentration,5sec,1.059471244,3.692659304,70.00290266,25.24032333,nM/L
concentration,5sec,1.059471244,3.579169866,70.00290266,24.46459239,nM/L
concentration,5sec,1.059471244,3.46916839,70.00290266,23.7127026,nM/L
concentration,5sec,1.059471244,3.362547677,70.00290266,22.98392124,nM/L
concentration,5sec,1.059471244,3.259203823,70.00290266,22.2775381,nM/L
concentration,5sec,1.059471244,3.159036119,70.00290266,21.59286479,nM/L
concentration,5sec,1.059471244,3.061946947,70.00290266,20.92923409,nM/L
concentration,5sec,1.059471244,2.967841695,70.00290266,20.28599928,nM/L
concentration,5sec,1.102774474,5.205515733,70.0030213,35.58110549,nM/L
concentration,5sec,1.102774474,5.045530476,70.0030213,34.48756306,nM/L
concentration,5sec,1.102774474,4.890462172,70.0030213,33.42762934,nM/L
concentration,5sec,1.102774474,4.740159706,70.0030213,32.4002714,nM/L
concentration,5sec,1.102774474,4.594476605,70.0030213,31.40448807,nM/L
concentration,5sec,1.102774474,4.453270899,70.0030213,30.43930895,nM/L
concentration,5sec,1.218249755,10.72569365,70.00333767,73.31301194,nM/L
concentration,5sec,1.259332307,6.828825418,70.00345023,46.67686547,nM/L
concentration,5sec,1.117208884,5.540858443,70.00306085,37.87326345,nM/L
concentration,5sec,1.117208884,5.37056683,70.00306085,36.7092743,nM/L
concentration,5sec,1.207022992,2.845916026,70.00330691,19.45260441,nM/L
concentration,5sec,1.379915148,7.538541735,70.00378059,51.52796811,nM/L
concentration,5sec,1.506937957,7.848157387,70.0041286,53.64427469,nM/L
concentration,5sec,1.622413238,8.128580409,70.00444497,55.56104176,nM/L
concentration,5sec,1.737888519,8.410068643,70.00476134,57.48508983,nM/L
concentration,5sec,1.920724381,8.661730602,70.00526226,59.20526727,nM/L
concentration,5sec,1.97263761,9.317693908,70.00540449,63.68895357,nM/L
concentration,5sec,1.983273491,14.37068594,70.00543363,98.22751836,nM/L
concentration,5sec,1.983273491,3.842493894,70.00543363,26.26448321,nM/L
concentration,5sec,2.054133323,9.013507928,70.00562776,61.60976027,nM/L
concentration,5sec,2.108371712,13.94744069,70.00577636,95.33452286,nM/L
concentration,5sec,2.098748772,13.4524606,70.00575,91.95120029,nM/L
concentration,5sec,2.098748772,13.03901542,70.00575,89.12519087,nM/L
concentration,5sec,2.098748772,12.63827699,70.00575,86.38603545,nM/L
concentration,5sec,2.098748772,12.24985476,70.00575,83.73106467,nM/L
concentration,5sec,2.098748772,11.87337023,70.00575,81.15769123,nM/L
concentration,5sec,2.098748772,11.50845649,70.00575,78.66340731,nM/L
concentration,5sec,2.098748772,11.15475794,70.00575,76.24578221,nM/L
concentration,5sec,2.098748772,10.81192988,70.00575,73.90245991,nM/L
concentration,5sec,2.098748772,10.47963824,70.00575,71.63115679,nM/L
concentration,5sec,2.098748772,10.15755918,70.00575,69.42965944,nM/L
concentration,5sec,2.185355233,9.752777864,70.00598727,66.66286989,nM/L
concentration,5sec,2.108371712,8.204020139,70.00577636,56.07669268,nM/L
concentration,5sec,2.098748772,7.91286804,70.00575,54.08658947,nM/L
concentration,5sec,2.098748772,7.669675569,70.00575,52.42430327,nM/L
concentration,5sec,2.098748772,7.433957325,70.00575,50.81310544,nM/L
concentration,5sec,2.098748772,7.205483599,70.00575,49.25142583,nM/L
concentration,5sec,2.098748772,6.984031737,70.00575,47.73774256,nM/L
concentration,5sec,2.098748772,6.769385931,70.00575,46.27058053,nM/L
concentration,5sec,2.098748772,6.561337006,70.00575,44.84850995,nM/L
concentration,5sec,2.098748772,6.359682214,70.00575,43.470145,nM/L
concentration,5sec,2.098748772,6.164225039,70.00575,42.13414244,nM/L
concentration,5sec,2.098748772,5.974775005,70.00575,40.83920031,nM/L
concentration,5sec,2.098748772,5.79114749,70.00575,39.58405666,nM/L
concentration,5sec,2.098748772,5.613163545,70.00575,38.36748835,nM/L
concentration,5sec,2.098748772,5.440649723,70.00575,37.18830979,nM/L
concentration,5sec,2.098748772,5.273437905,70.00575,36.04537187,nM/L
concentration,5sec,2.098748772,5.111365141,70.00575,34.93756077,nM/L
concentration,5sec,2.098748772,4.954273488,70.00575,33.86379691,nM/L
concentration,5sec,2.098748772,4.802009858,70.00575,32.82303389,nM/L
concentration,5sec,2.098748772,4.654425868,70.00575,31.81425747,nM/L
concentration,5sec,2.098748772,4.511377693,70.00575,30.83648457,nM/L
concentration,5sec,2.098748772,4.372725932,70.00575,29.88876235,nM/L
concentration,5sec,2.098748772,4.238335466,70.00575,28.97016723,nM/L
concentration,5sec,2.098748772,4.108075329,70.00575,28.07980403,nM/L
concentration,5sec,2.098748772,3.981818581,70.00575,27.21680506,nM/L
concentration,5sec,2.127617592,8.69131999,70.00582909,59.40751873,nM/L
concentration,5sec,2.113183182,8.432186315,70.00578954,57.63627009,nM/L
concentration,5sec,2.271961693,9.382505196,70.00622455,64.13195623,nM/L
concentration,5sec,2.257527283,3.835094718,70.00618501,26.21390785,nM/L
concentration,5sec,2.271961693,14.39920307,70.00622455,98.42244065,nM/L
concentration,5sec,2.271961693,9.149784113,70.00622455,62.54124479,nM/L
concentration,5sec,2.430740205,9.997112714,70.00665956,68.33296455,nM/L
concentration,5sec,2.611170331,10.3285806,70.00715389,70.59863708,nM/L
concentration,5sec,2.806034868,10.71464469,70.00768777,73.23748933,nM/L
concentration,5sec,2.964813379,16.74692433,70.00812278,114.4697493,nM/L
concentration,5sec,2.977804348,11.25082914,70.00815837,76.90245479,nM/L
concentration,5sec,2.964813379,5.753688375,70.00812278,39.3280135,nM/L
concentration,5sec,3.140246979,10.96228874,70.00860342,74.93020328,nM/L
concentration,5sec,3.08028866,16.14852164,70.00843915,110.3795054,nM/L
concentration,5sec,3.08028866,15.65221627,70.00843915,106.9871242,nM/L
concentration,5sec,3.08028866,15.17116425,70.00843915,103.6990038,nM/L
concentration,5sec,3.08028866,14.70489679,70.00843915,100.5119397,nM/L
concentration,5sec,3.08028866,14.25295949,70.00843915,97.42282631,nM/L
concentration,5sec,3.08028866,13.81491194,70.00843915,94.42865306,nM/L
concentration,5sec,3.08028866,13.39032726,70.00843915,91.52650211,nM/L
concentration,5sec,3.08028866,12.97879167,70.00843915,88.71354528,nM/L
concentration,5sec,3.08028866,12.57990414,70.00843915,85.98704129,nM/L
concentration,5sec,3.08028866,12.19327594,70.00843915,83.34433312,nM/L
concentration,5sec,3.15727218,11.69242325,70.00865006,79.92086981,nM/L
concentration,5sec,3.08028866,10.43123557,70.00843915,71.3003115,nM/L
concentration,5sec,3.08028866,10.11064411,70.00843915,69.10898228,nM/L
concentration,5sec,3.08028866,9.799905636,70.00843915,66.98500093,nM/L
concentration,5sec,3.08028866,9.498717337,70.00843915,64.92629758,nM/L
concentration,5sec,3.08028866,9.206785697,70.00843915,62.93086601,nM/L
concentration,5sec,3.08028866,8.923826225,70.00843915,60.99676162,nM/L
concentration,5sec,3.08028866,8.649563172,70.00843915,59.1220996,nM/L
concentration,5sec,3.08028866,8.383729263,70.00843915,57.30505306,nM/L
concentration,5sec,3.08028866,8.126065439,70.00843915,55.54385126,nM/L
concentration,5sec,3.08028866,7.876320603,70.00843915,53.83677787,nM/L
concentration,5sec,3.08028866,7.634251374,70.00843915,52.18216933,nM/L
concentration,5sec,3.08028866,7.39962185,70.00843915,50.5784132,nM/L
concentration,5sec,3.08028866,7.172203383,70.00843915,49.02394657,nM/L
concentration,5sec,3.08028866,6.951774349,70.00843915,47.5172546,nM/L
concentration,5sec,3.09472307,6.724315276,70.00847869,45.96251043,nM/L
concentration,5sec,3.08028866,6.531031933,70.00843915,44.64136659,nM/L
concentration,5sec,3.08028866,6.33030853,70.00843915,43.26936795,nM/L
concentration,5sec,3.08028866,6.13575412,70.00843915,41.93953602,nM/L
concentration,5sec,3.0899116,5.919112019,70.00846551,40.45872877,nM/L
concentration,5sec,3.239067171,16.77894199,70.00887416,114.6885987,nM/L
concentration,5sec,3.319112536,11.480201,70.00909346,78.47027341,nM/L
concentration,5sec,3.253501581,5.740987914,70.0089137,39.24120242,nM/L
concentration,5sec,3.325673632,11.0558283,70.00911143,75.56957144,nM/L
concentration,5sec,3.585493014,11.98687109,70.00982327,81.93350029,nM/L
concentration,5sec,3.896863861,12.32156683,70.01067634,84.22123603,nM/L
concentration,5sec,3.975222087,17.68902758,70.01089102,120.9092794,nM/L
concentration,5sec,3.975222087,7.542604721,70.01089102,51.55573972,nM/L
concentration,5sec,4.087301036,12.63874269,70.01119809,86.38921864,nM/L
concentration,5sec,4.090697368,17.04156708,70.01120739,116.4837121,nM/L
concentration,5sec,4.090697368,16.51781503,70.01120739,112.9037255,nM/L
concentration,5sec,4.090697368,16.01015988,70.01120739,109.4337654,nM/L
concentration,5sec,4.090697368,15.51810689,70.01120739,106.0704504,nM/L
concentration,5sec,4.090697368,15.04117657,70.01120739,102.8105028,nM/L
concentration,5sec,4.090697368,14.57890412,70.01120739,99.65074583,nM/L
concentration,5sec,4.090697368,14.13083905,70.01120739,96.58810016,nM/L
concentration,5sec,4.090697368,13.69654473,70.01120739,93.6195812,nM/L
concentration,5sec,4.090697368,13.27559792,70.01120739,90.74229611,nM/L
concentration,5sec,4.090697368,11.71726822,70.01120739,80.09069186,nM/L
concentration,5sec,4.090697368,11.35715209,70.01120739,77.62920089,nM/L
concentration,5sec,4.090697368,11.0081037,70.01120739,75.24336087,nM/L
concentration,5sec,4.090697368,10.66978288,70.01120739,72.93084678,nM/L
concentration,5sec,4.090697368,10.34185996,70.01120739,70.68940503,nM/L
concentration,5sec,4.090697368,10.02401534,70.01120739,68.51685128,nM/L
concentration,5sec,4.090697368,9.715939302,70.01120739,66.41106836,nM/L
concentration,5sec,4.090697368,9.417331607,70.01120739,64.37000415,nM/L
concentration,5sec,4.090697368,9.12790126,70.01120739,62.39166958,nM/L
concentration,5sec,4.090697368,8.847366206,70.01120739,60.47413675,nM/L
concentration,5sec,4.090697368,8.575453059,70.01120739,58.61553697,nM/L
concentration,5sec,4.090697368,8.311896835,70.01120739,56.81405903,nM/L
concentration,5sec,4.090697368,8.056440695,70.01120739,55.06794733,nM/L
concentration,5sec,4.090697368,7.808835691,70.01120739,53.37550028,nM/L
concentration,5sec,4.209380295,12.22667657,70.01153255,83.57263547,nM/L
concentration,5sec,4.249475879,17.73513845,70.0116424,121.2244597,nM/L
concentration,5sec,4.249475879,7.528566091,70.0116424,51.45978189,nM/L
concentration,5sec,4.37938557,12.536848,70.01199832,85.69274091,nM/L
concentration,5sec,4.696942593,12.34658322,70.01286834,84.39222983,nM/L
concentration,5sec,4.899024334,7.60939985,70.01342198,52.01230246,nM/L
concentration,5sec,4.927893154,16.78070347,70.01350108,114.7006389,nM/L
concentration,5sec,4.946126094,12.07252975,70.01355103,82.51900036,nM/L
concentration,5sec,5.072237256,12.4963716,70.01389654,85.41607384,nM/L
concentration,5sec,5.006626301,8.025072649,70.01371678,54.85353827,nM/L
concentration,5sec,5.014499615,16.19157563,70.01373836,110.6737911,nM/L
concentration,5sec,5.014499615,15.69394705,70.01373836,107.2723654,nM/L
concentration,5sec,5.014499615,15.21161249,70.01373836,103.9754784,nM/L
concentration,5sec,5.014499615,14.74410189,70.01373836,100.7799173,nM/L
concentration,5sec,5.014499615,14.29095968,70.01373836,97.68256785,nM/L
concentration,5sec,5.014499615,13.85174424,70.01373836,94.68041175,nM/L
concentration,5sec,5.014499615,13.42602756,70.01373836,91.77052331,nM/L
concentration,5sec,5.014499615,13.01339477,70.01373836,88.95006678,nM/L
concentration,5sec,5.014499615,11.48584326,70.01373836,78.50883981,nM/L
concentration,5sec,5.014499615,11.1328397,70.01373836,76.09596516,nM/L
concentration,5sec,5.014499615,10.79068528,70.01373836,73.7572473,nM/L
concentration,5sec,5.014499615,10.45904656,70.01373836,71.49040712,nM/L
concentration,5sec,5.014499615,10.13760036,70.01373836,69.29323554,nM/L
concentration,5sec,5.014499615,9.82603342,70.01373836,67.16359139,nM/L
concentration,5sec,5.014499615,9.524042115,70.01373836,65.09939928,nM/L
concentration,5sec,5.014499615,9.231332149,70.01373836,63.09864763,nM/L
concentration,5sec,5.014499615,8.947618271,70.01373836,61.15938668,nM/L
concentration,5sec,5.014499615,8.672623998,70.01373836,59.27972657,nM/L
concentration,5sec,5.014499615,8.406081342,70.01373836,57.45783556,nM/L
concentration,5sec,5.173278126,7.597147597,70.01417336,51.928555,nM/L
concentration,5sec,5.187712537,16.84071428,70.01421291,115.110829,nM/L
concentration,5sec,5.247254478,12.03219037,70.01437604,82.24326978,nM/L
concentration,5sec,5.563007199,11.76113004,70.01524112,80.39049924,nM/L
concentration,5sec,5.880564222,11.49086944,70.01611113,78.54319508,nM/L
concentration,5sec,5.996039503,16.00326729,70.01642751,109.3866527,nM/L
concentration,5sec,6.022983735,11.14446577,70.01650133,76.17543244,nM/L
concentration,5sec,5.996039503,6.645717443,70.01642751,45.42527302,nM/L
concentration,5sec,6.111514784,15.42745648,70.01674388,105.4508304,nM/L
concentration,5sec,6.111514784,14.95331218,70.01674388,102.2099261,nM/L
concentration,5sec,6.111514784,14.49374014,70.01674388,99.06862707,nM/L
concentration,5sec,6.111514784,14.04829249,70.01674388,96.02387211,nM/L
concentration,5sec,6.111514784,13.61653514,70.01674388,93.07269403,nM/L
concentration,5sec,6.111514784,13.19804733,70.01674388,90.21221685,nM/L
concentration,5sec,6.111514784,12.79242123,70.01674388,87.43965299,nM/L
concentration,5sec,6.111514784,12.39926157,70.01674388,84.75230055,nM/L
concentration,5sec,6.111514784,12.0181852,70.01674388,82.14754065,nM/L
concentration,5sec,6.198121245,11.54402155,70.01698115,78.90650408,nM/L
concentration,5sec,6.111514784,10.60745439,70.01674388,72.5048147,nM/L
concentration,5sec,6.111514784,10.28144705,70.01674388,70.27646653,nM/L
concentration,5sec,6.111514784,9.965459159,70.01674388,68.11660396,nM/L
concentration,5sec,6.111514784,9.659182771,70.01674388,66.02312216,nM/L
concentration,5sec,6.111514784,9.36231942,70.01674388,63.993981,nM/L
concentration,5sec,6.111514784,9.074579806,70.01674388,62.02720305,nM/L
concentration,5sec,6.111514784,8.795683523,70.01674388,60.12087165,nM/L
concentration,5sec,6.111514784,8.525358781,70.01674388,58.27312906,nM/L
concentration,5sec,6.111514784,8.263342145,70.01674388,56.48217461,nM/L
concentration,5sec,6.111514784,8.009378274,70.01674388,54.74626298,nM/L
concentration,5sec,6.111514784,7.763219678,70.01674388,53.06370251,nM/L
concentration,5sec,6.111514784,7.524626469,70.01674388,51.43285351,nM/L
concentration,5sec,6.111514784,7.293366135,70.01674388,49.85212669,nM/L
concentration,5sec,6.111514784,7.069213309,70.01674388,48.31998161,nM/L
concentration,5sec,6.121137724,6.82122542,70.01677024,46.62491743,nM/L
concentration,5sec,6.270293295,16.03541444,70.01717889,109.6063871,nM/L
concentration,5sec,6.318407995,11.22935211,70.01731071,76.75565349,nM/L
concentration,5sec,6.169252424,10.94374162,70.01690206,74.80342874,nM/L
concentration,5sec,6.284727705,6.633186673,70.01721843,45.33962183,nM/L
concentration,5sec,6.631153548,11.25537833,70.01816754,76.93354975,nM/L
concentration,5sec,6.974183059,11.15225172,70.01910735,76.22865154,nM/L
concentration,5sec,7.035317031,14.44773053,70.01927484,98.75413898,nM/L
concentration,5sec,7.035317031,7.915703181,70.01927484,54.10596843,nM/L
concentration,5sec,7.150792312,13.92788923,70.01959121,95.2008833,nM/L
concentration,5sec,7.150792312,13.49983232,70.01959121,92.27499879,nM/L
concentration,5sec,7.150792312,13.08493123,70.01959121,89.43903781,nM/L
concentration,5sec,7.165226722,12.67077359,70.01963076,86.60815853,nM/L
concentration,5sec,7.150792312,12.29299161,70.01959121,84.02591665,nM/L
concentration,5sec,7.150792312,11.91518131,70.01959121,81.44348128,nM/L
concentration,5sec,7.237398773,10.90745158,70.01982849,74.55537646,nM/L
concentration,5sec,7.150792312,10.51415416,70.01959121,71.86708245,nM/L
concentration,5sec,7.150792312,10.19332818,70.01959121,69.67415021,nM/L
concentration,5sec,7.150792312,9.880048508,70.01959121,67.5327991,nM/L
concentration,5sec,7.150792312,9.576397114,70.01959121,65.45725984,nM/L
concentration,5sec,7.150792312,9.282078081,70.01959121,63.44550978,nM/L
concentration,5sec,7.150792312,8.996804588,70.01959121,61.49558843,nM/L
concentration,5sec,7.150792312,8.720298632,70.01959121,59.60559557,nM/L
concentration,5sec,7.150792312,8.452290754,70.01959121,57.77368937,nM/L
concentration,5sec,7.150792312,8.196007849,70.01959121,56.02192651,nM/L
concentration,5sec,7.237398773,11.38977161,70.01982849,77.85216414,nM/L
concentration,5sec,7.266267593,11.15315341,70.01990758,76.23481486,nM/L
concentration,5sec,7.309570823,14.47675294,70.02002622,98.95251496,nM/L
concentration,5sec,7.309570823,7.902683064,70.02002622,54.01697241,nM/L
concentration,5sec,7.583824615,11.13168431,70.0207776,76.08806774,nM/L
concentration,5sec,7.901381638,11.10698129,70.02164762,75.91921592,nM/L
concentration,5sec,8.21893866,11.07804533,70.02251764,75.72143084,nM/L
concentration,5sec,8.536495683,11.04490983,70.02338766,75.49494072,nM/L
concentration,5sec,8.854052706,11.01329397,70.02425768,75.27883778,nM/L
concentration,5sec,9.171609728,10.99027124,70.0251277,75.12147119,nM/L
concentration,5sec,9.489166751,10.96163933,70.02599772,74.9257644,nM/L
concentration,5sec,9.806723773,10.9203969,70.02686774,74.64386122,nM/L
concentration,5sec,10.1242808,10.89335209,70.02773776,74.45900267,nM/L
concentration,5sec,10.44183782,10.87058009,70.02860777,74.30334991,nM/L
concentration,5sec,10.78633907,10.777905,70.02955161,73.66989063,nM/L
concentration,5sec,10.96147658,14.32015789,70.03003144,97.88214554,nM/L
concentration,5sec,10.96147658,7.382903329,70.03003144,50.46413759,nM/L
concentration,5sec,11.07695186,10.83216285,70.03034781,74.04075766,nM/L
concentration,5sec,11.07695186,13.80490676,70.03034781,94.36026491,nM/L
concentration,5sec,11.07695186,13.38062957,70.03034781,91.46021579,nM/L
concentration,5sec,11.07695186,12.96939203,70.03034781,88.64929619,nM/L
concentration,5sec,11.07695186,12.57079339,70.03034781,85.92476682,nM/L
concentration,5sec,11.07695186,12.18444519,70.03034781,83.28397258,nM/L
