time,[AB42_O1_ISF],[AB42_O25_ISF],[IDE_activity_ISF],[AB42_O2_ISF],[AB42_O3_ISF],[AB42_O4_ISF],[AB42_O5_ISF],[AB42_O6_ISF],[AB42_O7_ISF],[AB42_O8_ISF],[AB42_O9_ISF],[AB42_O10_ISF],[AB42_O11_ISF],[AB42_O12_ISF],[AB42_O13_ISF],[AB42_O14_ISF],[AB42_O15_ISF],[AB42_O16_ISF],[AB42_O17_ISF],[AB42_O18_ISF],[AB42_O19_ISF],[AB42_O20_ISF],[AB42_O21_ISF],[AB42_O22_ISF],[AB42_O23_ISF],[AB42_O24_ISF]
0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2929.7658862876256,22.615195817430678,0.2705007872388255,257.7974820328115,0.003959993362129703,0.005398765208598421,0.019498207679174227,0.019273473471726407,0.16965560238035216,0.1493665371494822,0.13151814218369368,0.11584603718720653,0.11432197468578832,0.11290765540905423,0.15035774232058047,0.13162889675306197,0.11583928135664393,0.10251221475170058,0.09111104409117417,0.0820070414737955,0.0735886544121471,0.06916515474554266,0.0640434623571877,0.058107938967887594,0.05143131761634001,0.044352568322905066,0.07807990670095766
5859.531772575251,22.504367479476457,1.390442520390084,255.6136220863761,0.003921365204788472,0.005346073271729745,0.019307460978297563,0.019084637598507256,0.16795865787667033,0.1478410923776929,0.13014582943754033,0.11461013110717772,0.11311916452810325,0.112397475887883,0.35903193775976927,0.3227868761670121,0.2900246396420775,0.26047490853585337,0.2338751012783892,0.21262296551583654,0.1929302275039787,0.18507688147539683,0.17743677694586318,0.16994547116221856,0.16254498602744819,0.15598140021669432,0.408870967399402
8789.297658862877,22.34868054089441,3.6536234411317565,253.4482621044399,0.00386740189487561,0.005272467635715425,0.01904108072421132,0.018820965093759794,0.16559574592054138,0.145724411243591,0.12825049654978787,0.11291338821020835,0.11147116439942908,0.11167412618234962,0.6359571501195111,0.5769086987800939,0.5231800446161097,0.4743089589858902,0.42988547619218587,0.3955323798594728,0.36215038287311324,0.3507461074893095,0.33959333964688776,0.3286836643835208,0.3180153256842125,0.3092944289897626,0.8465074267336377
11719.063545150502,22.133719444749822,7.453612458929945,251.30124536967932,0.0037934983964393546,0.005171668033265444,0.018676348551211613,0.018459987623771556,0.16236585680569152,0.14283556286925114,0.12566780284643259,0.1106050762971538,0.10922897217910295,0.11070228519641526,1.0137618766558234,0.9232342683317242,0.840662388874321,0.7653600923877769,0.696725555639891,0.6465326379848509,0.5945606995345828,0.5785892990799626,0.5629453704572901,0.5476173273468742,0.5326113770992201,0.5208962989119426,1.4389804618880226
14648.829431438127,21.840915077986864,13.310165177144512,249.1724164923578,0.0036939842777416578,0.005035930610097632,0.01818510889518582,0.017973725361200774,0.1580088657247527,0.1389339412436968,0.12217611777256344,0.10748170430622095,0.1061943623727759,0.10941756455669768,1.5281262496231305,1.3948345861426545,1.2730500730245498,1.1617955657545709,1.0602306931055623,0.9914943305993696,0.9138425389487703,0.8914845759643324,0.869589484752336,0.8481381481605411,0.8271398796338734,0.8112674616021952,2.234565560584387
17578.595317725754,21.44864640052498,21.891139232895398,247.06162139907997,0.0035627578848628086,0.004856918171969788,0.017536987354421496,0.01733193838629552,0.15223862235552493,0.13375053802220854,0.11752397458770826,0.10330935402307281,0.10213769218889687,0.10777586182538107,2.2256648310338725,2.034458041192665,1.8595651071598889,1.6996138801435472,1.5534551166044517,1.4639649094839695,1.3510030313591355,1.3197559891743496,1.2891634867230997,1.259197554764008,1.229872834810252,1.2081588098333464,3.290323378275998
20508.361204013378,20.93407219033639,34.02873853432604,244.96870732164066,0.0033942423983210047,0.004627007645346656,0.016704170997452975,0.016506898659887442,0.14478978903630418,0.12703356428604531,0.11147411501636327,0.09786579104563085,0.09683903727100164,0.10582001685366535,3.1663679516980285,2.896939986625899,2.6503402383019496,2.42465799976153,2.2183422653934772,2.1064008729564887,1.9452621372108236,1.9017597442331549,1.859178153952212,1.8174773913836295,1.7766796572163235,1.7468115234239314,4.667545650395224
23438.127090301005,20.277067762858096,50.71497438048106,242.89352278596806,0.003185040421597676,0.004341551993068,0.01566966640504067,0.01548162267065926,0.13549742079489308,0.11862491044094085,0.10387655306728802,0.091009933413818,0.09015628845852655,0.10377655487395741,4.423819139329546,4.049323049673611,3.706467108210841,3.3926052841905427,3.105662426347522,2.969880090530154,2.7437942559085995,2.6836210186459057,2.6247331620211742,2.5670744419461635,2.5106774650091075,2.4695614967149435,6.42144787280581
26367.89297658863,19.46623250617218,73.05968556303256,240.83591760116107,0.002936033868235601,0.004001749873695524,0.014437761529170303,0.014260291055062144,0.12439650344017743,0.10855480132652612,0.09475820857072026,0.08276640014607874,0.0821087230888119,0.10216998070612654,6.082148778538422,5.567927098638705,5.097187718851751,4.666283843993024,4.272456854651048,4.111406515026317,3.7992556735994847,3.7168322780413168,3.6361817810332524,3.5572264656568553,3.4800133261835975,3.423637514595891,8.58544979584531
